objectid,name,unique_code,pollutant_metric,maximum_value,unit,compliance_status,compliance_metric,globalid,shape_Length,shape_Area
264,Wolverhampton,E08000031,Benzene annual mean Limit Value 2020,0.63,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{8B2C9BED-CBA3-4AE4-B119-DDF51F74F32A},56054.9143822834,69436711.8259897
265,Worcester,E07000237,Benzene annual mean Limit Value 2020,0.39,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{58B03AB5-0967-4E3A-9AD3-AB45F03FBD55},31263.0663437807,33278124.8695442
266,Worthing,E07000229,Benzene annual mean Limit Value 2020,0.52,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{C0AB4222-0728-44B9-A468-E2DD43EF739E},29462.139044102,32521007.7957513
267,Wychavon,E07000238,Benzene annual mean Limit Value 2020,0.28,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{53573F6B-6346-49FD-B868-E893653AF45A},219520.151476975,663541973.671783
268,Wycombe,E07000007,Benzene annual mean Limit Value 2020,0.52,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{07D2682C-7D22-4959-8C34-292EEB54B217},113202.002504236,324572080.488638
269,Wyre,E07000128,Benzene annual mean Limit Value 2020,0.27,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{50E9CBD2-D126-484B-B322-76E5683B1750},212730.866956258,282164815.237443
270,Wyre Forest,E07000239,Benzene annual mean Limit Value 2020,0.39,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{07C5F70D-3DB9-40E5-9DFC-D89C243A75F3},100867.383930268,195403719.201685
271,Barking and Dagenham,E09000002,Benzene annual mean Limit Value 2020,0.7,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{357FF61C-BA8F-426D-9258-C7A64FF2C8E6},40848.9262109737,36099579.3537102
272,Barnet,E09000003,Benzene annual mean Limit Value 2020,0.71,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{9EE6BAE8-075F-49D1-A912-7B422FAD73F3},50818.5640207425,86748323.8350299
273,Bexley,E09000004,Benzene annual mean Limit Value 2020,0.7,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{73F586EF-8F4D-41F0-8AAE-77658ADC6B06},47929.7812543916,60569006.5897128
274,Brent,E09000005,Benzene annual mean Limit Value 2020,0.69,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{1210AE0B-06E4-42FC-BD18-F93BBB679AC6},38334.1080962157,43232647.4133637
275,Bromley,E09000006,Benzene annual mean Limit Value 2020,0.65,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{12C11A1A-8F5B-4EA6-A17A-F9F16AA6546E},76164.2425683605,150134859.413452
276,Camden,E09000007,Benzene annual mean Limit Value 2020,0.88,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{EC2F14FB-0A14-4F7F-ADBB-6B4E811A5A72},26150.8183816197,21789299.882839
277,City of London,E09000001,Benzene annual mean Limit Value 2020,1.1,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{68921619-49E7-484B-BB03-7A4AD55EC0C9},9365.48215920575,2892405.36543164
278,Croydon,E09000008,Benzene annual mean Limit Value 2020,0.74,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{66CCDFFB-54CB-46A8-825A-FE80CC0D60C2},58703.9243700039,86494438.8832782
279,Ealing,E09000009,Benzene annual mean Limit Value 2020,0.75,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{32C054E9-A2B3-461B-B988-C8C91A1A4B07},47439.0263083463,55544347.2179586
280,Enfield,E09000010,Benzene annual mean Limit Value 2020,0.75,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{30A6F8AD-3C66-471F-9025-0D862946C8D8},41064.6492881675,82200189.5489859
281,Greenwich,E09000011,Benzene annual mean Limit Value 2020,0.76,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{3C0B2DC3-0CAA-4B40-A365-ED8BA2896C70},47659.9055393207,47312188.6114747
282,Hackney,E09000012,Benzene annual mean Limit Value 2020,0.85,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{56C97A14-5863-4DA6-AC16-EFA838F26497},25382.815561641,19049030.352776
283,Hammersmith and Fulham,E09000013,Benzene annual mean Limit Value 2020,0.93,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{7893C680-F3F1-4E41-8D3A-B16BCD7A4647},23974.244573909,16403659.3246004
284,Haringey,E09000014,Benzene annual mean Limit Value 2020,0.8,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{125802A6-0444-4568-9DE9-9043E369ED04},29025.179094176,29598385.1571467
285,Harrow,E09000015,Benzene annual mean Limit Value 2020,0.6,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{478E6D83-3DAF-44C1-92AD-18225EF1FBB1},33735.4607001492,50463306.788368
286,Havering,E09000016,Benzene annual mean Limit Value 2020,0.67,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{2F1D3B0D-63CB-4606-993D-D59B9B3A0E2C},63646.6874627787,112341114.400327
287,Hillingdon,E09000017,Benzene annual mean Limit Value 2020,0.65,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{1F72BD99-95AA-4EAA-A23D-812479EF9E52},63887.0147407308,115700538.569064
288,Hounslow,E09000018,Benzene annual mean Limit Value 2020,0.7,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{54753FAB-80FC-4039-BE2C-36C3C7FD3528},64476.4213511999,55970483.6746531
289,Islington,E09000019,Benzene annual mean Limit Value 2020,0.8,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{9FBD9E88-4E39-414B-BCBD-70466115C8DB},20727.8573703064,14856651.4165616
290,Kensington and Chelsea,E09000020,Benzene annual mean Limit Value 2020,0.88,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{5E1F025D-913C-4690-802E-8D52BBDC62CC},20976.5665887925,12125376.8076287
291,Kingston upon Thames,E09000021,Benzene annual mean Limit Value 2020,0.73,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{823BC3B3-A8A2-4E13-8D22-4EF8FC463304},37553.1452619196,37261179.919015
292,Lambeth,E09000022,Benzene annual mean Limit Value 2020,0.82,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{0B4796C0-513A-416D-B98C-79098D47840A},34006.7011725025,26819774.5739752
293,Lewisham,E09000023,Benzene annual mean Limit Value 2020,0.84,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{6FEAE16C-141D-4C1B-A264-FBD6FBEFB11D},41248.7993236033,35148181.048931
294,Merton,E09000024,Benzene annual mean Limit Value 2020,0.72,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{B071DE3F-8C19-4A9C-B9CA-2A512329A617},32349.0601365595,37624739.9363362
