Country code,Country name,Region code,Region name,LAD code,LAD name,Google sub region 1,Google sub region 2,Average distance to nearest park or public garden or playing field (m),Median distance to nearest park or public garden or playing field (m),Average size of nearest park or public garden or playing field (m2),Median size of nearest park or public garden or playing field (m2),"Average number of parks or public gardens or playing fields within 1,000 m radius","Median number of parks or public gardens or playing fields within 1,000 m radius","Average combined size of parks or public gardens or playing fields within 1,000 m radius (m2)","Median combined size of parks or public gardens or playing fields within 1,000 m radius (m2)",Population ,Average population per park or public garden or playing field,Median population per park or public garden or playing field,Number of flats within built up area,Number of flats in built up area with gardens,Average garden size for flats in built up area,Number of houses within built up area,Number of houses in built up area with gardens,Average garden size for houses in built up area ,Average percent change in mobility to parks from baseline during lockdown period,Average percent change in mobility to parks from baseline during post-lockdown period
E92000001,England,E12000004,East Midlands,E07000039,South Derbyshire,Derbyshire,South Derbyshire District,488.98,349.89,37243.58,19859.89,3.22,2,178091.52,59152,104493,5351.2,4742.59,3431,2241.42,493.34,38019,35158,270.37,7.39,56.72
E92000001,England,E12000004,East Midlands,E07000129,Blaby,Leicestershire,Blaby District,337.39,289.21,43465.91,26144.09,3.69,3,196926.58,84341,100421,4365.51,2596.36,2991,1811.29,339.63,39950,37916,284.66,-0.7,29.86
E92000001,England,E12000004,East Midlands,E07000130,Charnwood,Leicestershire,Charnwood,374.87,324.36,91505.59,25649.32,3.55,3,375345.11,87024,182643,6829.58,4290.29,9444,6437.98,293.41,63757,61620,293.76,27.57,65.14
E92000001,England,E12000004,East Midlands,E07000131,Harborough,Leicestershire,Harborough District,545.64,337.48,31068,23116.71,2.79,2,91810.57,49654,92499,3757.93,2913.62,3621,2360.75,556.74,32806,29788,329.86,-12.73,53.77
E92000001,England,E12000004,East Midlands,E07000132,Hinckley and Bosworth,Leicestershire,Hinckley and Bosworth District,396.63,277.65,64637.33,26290.55,3.64,3,196620.53,109020,112423,4682.82,2740.06,5054,3168.59,375.95,42810,41020,285.56,15.12,58.47
E92000001,England,E12000004,East Midlands,E07000133,Melton,Leicestershire,Melton District,568.35,349.02,79479.74,16018.58,3.72,3,212646.5,83829,51100,4032.2,1972.35,1873,1210.91,365.88,17730,16927,356.76,-46.5,
E92000001,England,E12000004,East Midlands,E07000134,North West Leicestershire,Leicestershire,North West Leicestershire District,420.92,294.78,43593.57,19007.91,3.35,3,189609.91,80783.5,102126,3978.48,2435,3484,2292.78,487.15,38745,36310,308.36,4.03,50.43
E92000001,England,E12000004,East Midlands,E07000135,Oadby and Wigston,Leicestershire,Oadby and Wigston District,302.66,280.2,64985.6,36447.53,3.92,4,282728.42,168800,57056,8472.42,5002.02,2366,1240.41,289.81,21280,20652,303.08,-19.91,-3
E92000001,England,E12000004,East Midlands,E07000136,Boston,Lincolnshire,Boston District,505.65,390.07,37900.2,21061.43,2.66,2,122942.51,60052.5,69366,5111.97,4068.77,4026,2806.73,398.13,23717,23131,340.68,-24.35,19
E92000001,England,E12000004,East Midlands,E07000137,East Lindsey,Lincolnshire,East Lindsey District,1106.38,502.96,39722.31,16096.4,1.72,1,57132.71,26554,139647,5110.78,3908.88,8139,5683.22,511.14,49740,47276,496.65,-0.24,429.63
E92000001,England,E12000004,East Midlands,E07000138,Lincoln,Lincolnshire,Lincoln District,466.17,354.6,138813.84,18482.94,3.5,3,323110.44,238586,99039,15431.36,11729.08,10449,6128.19,199.5,34877,34385,199.14,5.54,50.39
E92000001,England,E12000004,East Midlands,E07000139,North Kesteven,Lincolnshire,North Kesteven District,646.76,381.48,31775.99,22866.7,2.07,1,60873.67,42329,115985,5022.4,3255.94,3536,2561.6,691.11,45230,43965,371.95,-5.9,22.02
E92000001,England,E12000004,East Midlands,E07000140,South Holland,Lincolnshire,South Holland District,659.43,418.92,25610.45,17631.24,2.03,2,47318.27,30912,93980,5918.39,3564.87,2573,1890.7,594.61,34455,33343,457.98,-7.82,25.5
E92000001,England,E12000004,East Midlands,E07000141,South Kesteven,Lincolnshire,South Kesteven District,563.24,355.76,36403.38,26174.52,2.55,2,105263.75,52173,141853,6714.36,3448.91,6562,4907.28,363.03,53332,51648,340.16,9.79,55.02
E92000001,England,E12000004,East Midlands,E07000142,West Lindsey,Lincolnshire,West Lindsey District,822.92,422.04,36646.86,21215.8,1.91,1,59792.3,31181,94869,4368.18,2479.52,3268,2163.86,748.11,34836,33651,419.32,-2.41,63.33
